"id","sales_price","mercedes_c","vw_golf","vw_passat","bmw_320","opel_astra","diesel","other_car_owner","pm_green","private_seller","guarantee","inspection","maintenance_cert","co2_em","euro_norm","mile_20","mile_30","mile_40","mile_50","mile_100","mile_150","mileage","mileage2","age_3","age_6","age_car_years","age_car_years2"
19718,14.23,0,0,1,0,0,1,1,1,0,0,0,1,117,5,1,1,1,1,1,0,135.721,18420.189841,0,0,2.1,4.41
68946,10.04,0,0,0,0,1,1,1,1,0,1,1,1,180,5,1,1,1,1,1,0,124,15376,1,0,4.8,23.04
99612,12.05,0,0,1,0,0,0,2,1,0,0,2,0,149,5,1,1,1,1,0,0,80,6400,1,0,4.9,24.01
65541,25.88,1,0,0,0,0,1,1,1,0,0,1,1,127,5,1,1,0,0,0,0,38.348,1470.569104,0,0,2.1,4.41
99217,14.64,0,0,1,0,0,1,1,1,0,0,1,1,116,5,1,1,1,1,0,0,67.401,4542.894801,1,0,3.5,12.25
39129,19.913,0,0,1,0,0,1,1,1,0,0,1,1,120,5,1,1,1,1,0,0,67.9,4610.41,0,0,2.3,5.29
73141,26.81,1,0,0,0,0,1,1,1,0,1,1,0,151,5,1,1,1,1,0,0,75.611,5717.023321,1,0,3.1,9.61
28191,15.4,0,1,0,0,0,0,0,1,0,0,0,1,136,5,1,1,1,0,0,0,41.7,1738.89,1,0,3.8,14.44
72605,30.5,0,0,0,1,0,0,3,1,0,0,0,1,203,4,1,1,1,1,1,0,113.5,12882.25,1,1,6,36
68981,24.83,0,0,0,1,0,1,2,1,0,0,0,0,125,5,1,1,1,1,0,0,68.7,4719.69,1,0,3.4,11.56
5176,15.56,0,0,1,0,0,1,0,0,0,0,0,1,120,5,1,1,1,1,0,0,95.5,9120.25,1,0,3.8,14.44
82118,6.41,0,0,1,0,0,1,1,1,1,0,0,1,158,4,1,1,1,1,1,1,154,23716,1,1,9.7,94.09
14294,19.09,0,0,1,0,0,1,1,1,0,0,1,1,135,5,1,1,1,1,0,0,71.55,5119.4025,1,0,3.4,11.56
23252,12.11,0,0,0,1,0,0,2,1,0,0,2,0,148,4,1,1,1,1,0,0,76,5776,1,1,7.5,56.25
13244,5.28,0,1,0,0,0,1,2,1,0,0,0,0,137,4,1,1,1,1,1,1,200,40000,1,1,8.1,65.61
4313,17.82,1,0,0,0,0,0,2,1,0,0,1,1,226,4,1,1,1,1,0,0,84,7056,1,1,6.3,39.69
